General Skill,Specific Skills
App Dev,"iOS Development,Mobile App Dev,Swift, Android Studio,Android,Adobe XD"
Database Management,"SQL,Amazon Dynamodb,Information Technology,Big Data,MySQL,MongoDB"
"Software Dev, Cloud Computing, Cryptography","Unit Testing, Unity3D, Hadoop, JUnit,Agile,CAD,IntelliJ IDEA,openFrameworks, Functional Programming, Amazon EC2,Amazon Kinesis,Cloud Computing,AWS Lambda, Salesforce,AWS Command LIne,AWS,Amazon Aurora, Blockchain"
Web Dev,"Web Design, Ajax, AngularJS,HTML,Web Dev,CSS,Node.js,React Native,React.js,Django,jQuery,D3.js, HTML5"
ML/Data Science,"Computer Vision,Data Analytics,Data Analysis,Image Processing,Data Visualization,Scikit-Learn,NumPy,Statistics,PyTorch,Deep Learning,ML,Keras,TensorFlow,readr,Image Analysis,OpenCV, Applied Mathematics"
"Basic Software/OS, Graphic Designing","Office,Word,Github,Video Editing,Powerpoint,Kanban,Photoshop,Outlook,Microsoft Excel,PowerPoint,Excel,Lightroom, 3D Printing,Canva,Adobe Animate,Adobe Illustrator,Graphic Design,Blender"
Finance,"Entrepreneurship,Stock Market Analysis,Marketing,Product Marketing,Online Marketing,Financial Analysis, Accounting, Microsoft Power BI,International Business,Account Management,QuickBooks,Economic Policy, Internal Controls, Direct Sales, Economic Data Analysis"
"Corporate Experience/Prior Experience, Services, Networking","Program Manager,Leadership,Management,Teamwork,Project Management,Team Building,Research,Public Relations, Business Development, Strategic Planning, Legal Document Preparation, Team Leadership, Customer Service,Event Planning,Community Outreach,Volunteer Management,Public Policy,Fundraising, Recruiting, Social Networking,Social Media Marketing,Social Media,Instagram"
Programming Languages/OS,"Java,Javascript,Swift,C#,MATLAB,RStudio,Linux,C,Python,R,Matlab,C++"
"Spoken Languages, Writing Speaking Skills","English,Vietnamese,Japanese, Public Speaking,Writing,Communication,Critical Thinking,Creative Writing,Technical Writing, Teaching, Interpersonal Communication"
"Bio, Hardware, Other","Affinity Chromatography,SDS-Page,CryoEM Data Processing,FPLC, Analog Circuit Design, Music,Audacity,Time Management,Data Entry"
